gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
LOLTMNT99_138309,Karasuno,Lynch Esports,TSC,14.01,Renekton,Viego,Akali,Xayah,Rell,Malphite,Xin Zhao,Orianna,Kai'Sa,Renata Glasc,Ivern,Ashe,Lucian,Varus,Pantheon,Bel'Veth,LeBlanc,Rumble,Rakan,Jax,1
LOLTMNT99_137444,Lynch Esports,NASR eSports Turkey,TSC,14.01,Ornn,Nocturne,Lucian,Hwei,Leona,K'Sante,Elise,Tristana,Xayah,Nautilus,Kalista,LeBlanc,Varus,Jax,Akali,Rumble,Renata Glasc,Ashe,Milio,Nami,1
LOLTMNT99_137512,Beşiktaş Esports,Karasuno,TSC,14.01,K'Sante,Viego,Akali,Varus,Alistar,Fiora,Xin Zhao,LeBlanc,Xayah,Rell,Bel'Veth,Nocturne,Orianna,Gwen,Camille,Ashe,Kalista,Rumble,Renata Glasc,Braum,0
LOLTMNT99_137562,NASR eSports Turkey,Karasuno,TSC,14.01,K'Sante,Nocturne,Orianna,Kalista,Nautilus,Kennen,Xin Zhao,Irelia,Ashe,Braum,Bel'Veth,Rell,Renata Glasc,Fiora,Gwen,Elise,Lucian,Rumble,Caitlyn,Rakan,0
LOLTMNT99_137618,Beşiktaş Esports,Lynch Esports,TSC,14.01,Gragas,Xin Zhao,Orianna,Varus,Heimerdinger,Jax,Brand,Talon,Caitlyn,Renata Glasc,Lucian,Nocturne,Ashe,Gwen,Gnar,Rumble,LeBlanc,Kalista,Nautilus,Milio,0
LOLTMNT99_142191,Galakticos,Papara SuperMassive,TSC,14.01,Akali,Rell,Tristana,Kalista,Neeko,Rumble,Lee Sin,Lucian,Varus,Nautilus,Ashe,LeBlanc,Nocturne,Elise,Poppy,,,,Xin Zhao,Vi,0
LOLTMNT99_141344,Ascendance,IMU Beyond,TSC,14.01,Aatrox,Rell,LeBlanc,Kai'Sa,Alistar,Malphite,Xin Zhao,Ahri,Varus,Braum,Ashe,Diana,Lucian,Renata Glasc,Milio,Kalista,Rumble,Nocturne,Sylas,Gwen,1
LOLTMNT99_142444,Ascendance,Papara SuperMassive,TSC,14.01,Olaf,Taliyah,LeBlanc,Xayah,Rakan,Renekton,Poppy,Orianna,Caitlyn,Karma,Ashe,Varus,Lillia,Nocturne,Lux,Rumble,Kalista,Lucian,Nautilus,Aatrox,1
LOLTMNT99_142526,IMU Beyond,Galakticos,TSC,14.01,K'Sante,Xin Zhao,Orianna,Varus,Karma,Aatrox,Vi,Neeko,Ashe,Nautilus,Rell,Akali,Kalista,Jax,Renekton,Diana,Nocturne,Rumble,Malphite,Ornn,1
LOLTMNT99_142630,IMU Beyond,Papara SuperMassive,TSC,14.01,Ornn,Nocturne,Ahri,Varus,Renata Glasc,Jax,Xin Zhao,Orianna,Caitlyn,Ashe,Akali,Neeko,Kalista,Vi,Jarvan IV,Rumble,Lucian,Rell,Malphite,Renekton,1
LOLTMNT99_142724,Ascendance,Galakticos,TSC,14.01,Yone,Rumble,Akali,Ashe,Braum,Aatrox,Poppy,Twisted Fate,Kalista,Rakan,Rell,LeBlanc,Neeko,Nautilus,Alistar,Nocturne,Draven,Irelia,Viego,Vi,1
LOLTMNT99_143663,Auronin,Misa Esports,TSC,14.01,Jax,Karthus,Irelia,Varus,Renata Glasc,Jayce,Elise,Orianna,Kalista,Nautilus,Nocturne,Rumble,LeBlanc,Jarvan IV,Xin Zhao,Akshan,Lucian,Ashe,Ornn,Tristana,1
LOLTMNT99_144749,Misa Esports,Auronin,TSC,14.01,Rumble,Trundle,Jayce,Kalista,Rell,Aatrox,Xin Zhao,Syndra,Varus,Renata Glasc,Akshan,Karthus,Ashe,Lee Sin,Sejuani,Orianna,Nocturne,Lucian,Blitzcrank,Nautilus,0
LOLTMNT99_143855,FUT Esports,BoostGate Esports,TSC,14.01,Jax,Nocturne,Orianna,Caitlyn,Neeko,Aatrox,Elise,Ahri,Lucian,Milio,LeBlanc,Ashe,Akali,Renekton,Tristana,Rumble,Varus,Kalista,Lux,Karma,1
LOLTMNT99_144977,FUT Esports,BoostGate Esports,TSC,14.01,Ornn,Xin Zhao,Neeko,Lucian,Milio,Jax,Elise,Tristana,Caitlyn,Lux,LeBlanc,Ashe,Nocturne,Nautilus,Xayah,Rumble,Varus,Kalista,Akali,Malphite,0
