gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
LOLTMNT01_56898,Dplus KIA,T1,LCK,14.02,K'Sante,Vi,Karma,Xayah,Rakan,Aatrox,Rell,Orianna,Varus,Tahm Kench,Ashe,Neeko,Hwei,Nautilus,Gnar,Lucian,Senna,Kalista,Lee Sin,Viego,1
LOLTMNT01_56909,J Team,West Point Esports,PCS,14.02,Aatrox,Viego,Karma,Senna,Rell,Udyr,Xin Zhao,Orianna,Varus,Alistar,LeBlanc,Ashe,Kalista,Renata Glasc,Irelia,Rumble,Poppy,Neeko,Nautilus,,1
LOLTMNT01_57111,West Point Esports,J Team,PCS,14.02,Udyr,Viego,Neeko,Jhin,Ashe,Gnar,Maokai,Azir,Varus,Senna,Rumble,Poppy,Draven,Pyke,Nautilus,Orianna,Karma,Kalista,Xin Zhao,Vi,1
LOLTMNT01_57117,Hanwha Life Esports,OKSavingsBank BRION,LCK,14.02,Aatrox,Sejuani,Orianna,Senna,Nautilus,K'Sante,Lee Sin,Akali,Lucian,Milio,Varus,Poppy,Karma,Tristana,Azir,Corki,Kalista,Vi,Udyr,Gnar,0
LOLTMNT01_57128,J Team,West Point Esports,PCS,14.02,K'Sante,Xin Zhao,Orianna,Senna,Rell,Gwen,Lee Sin,Akali,Varus,Nautilus,LeBlanc,Ashe,Karma,Vi,Irelia,Rumble,Poppy,Kalista,Tahm Kench,Nocturne,0
LOLTMNT01_57141,OKSavingsBank BRION,Hanwha Life Esports,LCK,14.02,Aatrox,Rell,Orianna,Varus,Nautilus,Camille,Sejuani,Akali,Senna,Tahm Kench,Corki,Kalista,Vi,Yone,Tristana,Poppy,Karma,Azir,Viego,Lee Sin,1
LOLTMNT01_56981,HELL PIGS,Beyond Gaming,PCS,14.02,K'Sante,Xin Zhao,Hwei,Senna,Nautilus,Udyr,Vi,Orianna,Xayah,Rakan,Kalista,Lucian,Karma,Zac,Rumble,Rengar,Maokai,Ashe,LeBlanc,Lee Sin,0
LOLTMNT01_57193,Beyond Gaming,HELL PIGS,PCS,14.02,Rumble,Viego,Neeko,Varus,Maokai,K'Sante,Lee Sin,Hwei,Ezreal,Nautilus,Rengar,Ashe,Senna,LeBlanc,Vi,Kalista,Lucian,Karma,Tristana,Jayce,0
LOLTMNT01_57206,HELL PIGS,Beyond Gaming,PCS,14.02,Gwen,Nocturne,Orianna,Jhin,Maokai,K'Sante,Vi,Akali,Varus,Nautilus,Kalista,Karma,Lucian,Taliyah,Neeko,Rengar,Senna,Ashe,Xin Zhao,Viego,1
LOLTMNT04_26596,BoostGate Esports,Galakticos,TCL,14.02,K'Sante,Poppy,Corki,Ezreal,Maokai,Aatrox,Rell,Azir,Varus,Heimerdinger,Kalista,Senna,Akali,Darius,Nautilus,Karma,Ashe,Vi,Bard,Xin Zhao,0
LOLTMNT04_26612,Misa Esports,Papara SuperMassive,TCL,14.02,Gragas,Poppy,Orianna,Varus,Nautilus,Gnar,Rell,Azir,Ezreal,Ashe,Xin Zhao,K'Sante,Karma,Jarvan IV,Sejuani,Lucian,Kalista,Maokai,Vi,Nocturne,1
LOLTMNT04_26608,E WIE EINFACH E-SPORTS,MOUZ NXT,PRM,14.02,Akali,Xin Zhao,Hwei,Senna,Blitzcrank,Jax,Nocturne,Galio,Varus,Rell,Aatrox,Karma,Gwen,Neeko,Orianna,Rumble,Maokai,K'Sante,Tahm Kench,Nautilus,0
LOLTMNT01_57261,Case Esports,Barça eSports,LVP SL,14.02,K'Sante,Nocturne,Orianna,Senna,Nautilus,Malphite,Lee Sin,Azir,Kalista,Braum,Vi,Lucian,Varus,Zac,Gnar,Neeko,Maokai,Karma,Corki,Tristana,0
LOLTMNT04_27603,The Ruddy Sack,Verdant,NLC,14.02,Rumble,Jax,Zed,Varus,Karma,Jayce,Xin Zhao,Azir,Ezreal,Rakan,Senna,K'Sante,Maokai,Pyke,Nautilus,Rengar,Riven,Seraphine,Yone,Akali,0
LOLTMNT04_27601,Team du Sud,GameWard,LFL,14.02,Aatrox,Maokai,Azir,Varus,Braum,Gnar,Vi,Hwei,Senna,Nautilus,Lucian,Neeko,Karma,Rell,Xin Zhao,Tristana,Renata Glasc,Brand,Ashe,K'Sante,1
LOLTMNT01_58070,GnG Amazigh,One More Esports,AL,14.02,Gnar,Sejuani,Azir,Kai'Sa,Nautilus,Jayce,Lillia,Sion,Ezreal,Rell,Briar,Kalista,Karma,Yone,Tristana,Darius,Varus,Maokai,Olaf,Akali,1
LOLTMNT01_57282,Guasones,UCAM Esports,LVP SL,14.02,Ornn,Jarvan IV,Taliyah,Varus,Ashe,Rumble,Vi,Azir,Ezreal,Rell,Kalista,Maokai,Karma,Draven,Samira,Orianna,K'Sante,Senna,Wukong,Xin Zhao,0
LOLTMNT04_26626,Diamant Esports,Crvena zvezda Esports,EBL,14.02,Darius,Rell,Azir,Draven,Renata Glasc,Gnar,Vi,Akali,Ezreal,Maokai,Orianna,Karma,Tristana,Xin Zhao,Nocturne,Kalista,Varus,Neeko,Ivern,K'Sante,0
LOLTMNT01_58103,aNc Outplayed,Macko Esports,LIT,14.02,K'Sante,Vi,Hwei,Xayah,Rakan,Gwen,Sejuani,Tristana,Ezreal,Rell,Rumble,Senna,Maokai,Xin Zhao,Caitlyn,Varus,Karma,Ashe,Alistar,Nautilus,0
LOLTMNT01_58096,mCon esports,Dynasty,ESLOL,14.02,K'Sante,Ivern,Lucian,Heimerdinger,Nautilus,Jax,Sejuani,Jayce,Kai'Sa,Maokai,Kalista,Rell,Ashe,Ornn,Lillia,Karma,Senna,Neeko,Yone,Aatrox,0
LOLTMNT04_27610,Beşiktaş Esports,Dark Passage,TCL,14.02,Zac,Viego,Akali,Varus,Ashe,K'Sante,Lee Sin,Azir,Draven,Rell,Corki,Xin Zhao,Karma,Blitzcrank,Lucian,Maokai,Kalista,Senna,Gwen,Udyr,0
LOLTMNT04_27612,Team BDS Academy,Vitality.Bee,LFL,14.02,Gragas,Viego,Karma,Varus,Nautilus,Gwen,Vi,Orianna,Kalista,Alistar,Senna,Rell,Renata Glasc,Hwei,Ahri,Azir,Maokai,Ashe,Jax,Xin Zhao,0
LOLTMNT04_27614,Lionscreed,DMG Esports,NLC,14.02,Udyr,Lee Sin,Karma,Kalista,Ashe,Gwen,Viego,Syndra,Ezreal,Rakan,Nocturne,Seraphine,Varus,Aatrox,Yone,Lucian,Akali,Azir,K'Sante,Xin Zhao,0
LOLTMNT04_27615,Berlin International Gaming,FC Schalke 04 Esports,PRM,14.02,K'Sante,Vi,Azir,Jhin,Alistar,Aatrox,Ivern,Hwei,Varus,Blitzcrank,Ashe,Twisted Fate,Ezreal,Sejuani,Xin Zhao,Nautilus,Maokai,Karma,Rell,Leona,0
LOLTMNT01_57288,Twisted Minds,RA'AD,AL,14.02,Mordekaiser,Lee Sin,Azir,Varus,Ashe,Aatrox,Nocturne,Orianna,Ezreal,Karma,K'Sante,Rell,Sejuani,Akali,Jarvan IV,Taliyah,Kalista,Maokai,Kled,Poppy,0
LOLTMNT01_58121,DSYRE,EKO Esports,LIT,14.02,Gnar,Rell,Hwei,Senna,Bard,Irelia,Maokai,Azir,Varus,Ashe,Anivia,Pyke,Yone,Darius,Syndra,Karma,Orianna,Rumble,K'Sante,Tahm Kench,0
LOLTMNT01_57300,Movistar KOI,ZETA,LVP SL,14.02,K'Sante,Xin Zhao,Akali,Varus,Nautilus,Aatrox,Rell,Orianna,Ashe,Heimerdinger,Seraphine,Blitzcrank,Kalista,Nocturne,Vi,Karma,Poppy,Maokai,Azir,Hwei,0
LOLTMNT01_58120,SNOOZE Esports,Myth Esports,ESLOL,14.02,Yone,Sejuani,Sylas,Varus,Braum,K'Sante,Lillia,Yasuo,Ashe,Maokai,Senna,Lucian,Kalista,Zac,Gragas,Karma,Jax,Rakan,Fiora,Gwen,1
LOLTMNT04_26635,Venomcrest Esports,Lundqvist Lightside,NLC,14.02,Gragas,Brand,Ezreal,Kai'Sa,Pyke,Rumble,Graves,Jayce,Senna,Nautilus,Lillia,Maokai,K'Sante,Xin Zhao,Tahm Kench,Karma,Viego,Bel'Veth,Tristana,Yasuo,1
LOLTMNT04_27623,GTZ Esports,SAW,LPLOL,14.02,K'Sante,Ivern,Yone,Senna,Nautilus,Olaf,Lillia,Hwei,Miss Fortune,Rell,Maokai,Azir,Kalista,Gwen,Gnar,LeBlanc,Brand,Karma,Vi,Jarvan IV,1
LOLTMNT04_27622,Gentle Mates,Solary,LFL,14.02,Twisted Fate,Rell,Orianna,Senna,Braum,Rumble,Maokai,Tristana,Varus,Nautilus,Azir,Akali,Ashe,Renata Glasc,Jax,Karma,K'Sante,Hwei,Tahm Kench,Sion,0
LOLTMNT04_27621,SPIKE Syndicate,Lupus Esports,EBL,14.02,K'Sante,Trundle,Hwei,Varus,Milio,Rumble,Jarvan IV,Tristana,Ezreal,Maokai,Samira,Zac,Kalista,Vi,Viego,Ashe,Karma,Seraphine,Xin Zhao,Nautilus,0
LOLTMNT04_27625,FUT Esports,NASR eSports Turkey,TCL,14.02,K'Sante,Xin Zhao,Neeko,Varus,Nautilus,Udyr,Evelynn,Jayce,Kalista,Ashe,Poppy,Senna,Zac,Rell,Tristana,Karma,Azir,Maokai,Orianna,Vi,0
LOLTMNT04_26638,NNO Prime,SK Gaming Prime,PRM,14.02,Twisted Fate,Vi,Azir,Varus,Rell,Udyr,Xin Zhao,Akali,Ezreal,Karma,Maokai,Senna,K'Sante,Braum,Poppy,Lee Sin,Orianna,Ashe,Gwen,Nautilus,0
LOLTMNT01_57313,Fox Gaming,Anubis Gaming,AL,14.02,Twisted Fate,Vi,Neeko,Ezreal,Maokai,K'Sante,Brand,Sylas,Senna,Nautilus,Akali,LeBlanc,Varus,Yone,Azir,Rumble,Karma,Hwei,Nocturne,Aatrox,0
LOLTMNT01_57329,Atleta Esport,ENEMI3S,LIT,14.02,Sett,Maokai,Azir,Varus,Nautilus,Aatrox,Rell,Karma,Kalista,Renata Glasc,Draven,Senna,Nocturne,Orianna,Akali,Rumble,Corki,Udyr,K'Sante,Poppy,0
LOLTMNT01_58133,Los Heretics,GIANTX Pride,LVP SL,14.02,K'Sante,Poppy,Taliyah,Senna,Nautilus,Zac,Sejuani,Azir,Varus,Alistar,Xin Zhao,Rumble,Maokai,Ashe,Rell,Draven,Kalista,Karma,Akali,Neeko,0
LOLTMNT04_26644,Cyber Wolves,Partizan Esports,EBL,14.02,K'Sante,Xin Zhao,Orianna,Xayah,Janna,Gwen,Nocturne,Akali,Ezreal,Bard,LeBlanc,Maokai,Ashe,Rell,Rakan,Rumble,Karma,Varus,Nautilus,Renata Glasc,0
LOLTMNT01_57322,ZennIT,A One Man Army,ESLOL,14.02,Fiora,Wukong,Orianna,Jhin,Maokai,Zac,Vi,Karma,Varus,Nautilus,LeBlanc,K'Sante,Akali,Jarvan IV,Xin Zhao,Draven,Ashe,Azir,Darius,Olaf,0
LOLTMNT04_27629,NORD Esports,Nativz,NLC,14.02,Gnar,Maokai,Corki,Ezreal,Alistar,Jayce,Vi,Viktor,Varus,Rell,Azir,Ashe,Nocturne,K'Sante,Aatrox,Neeko,Karma,Rumble,Nautilus,Ivern,0
LOLTMNT04_27633,Keypulse Esports,White Dragons,LPLOL,14.02,Twisted Fate,Vi,Sylas,Varus,Maokai,K'Sante,Lillia,Seraphine,Miss Fortune,Rell,Draven,Lux,Samira,Jax,Kled,Karma,Senna,Brand,Gwen,Braum,1
LOLTMNT04_26645,Eintracht Spandau,Unicorns of Love Sexy Edition,PRM,14.02,Gragas,Vi,Hwei,Senna,Yasuo,Aatrox,Xin Zhao,Orianna,Varus,Ashe,Kalista,Lillia,K'Sante,Wukong,Jarvan IV,Azir,Maokai,Poppy,Nautilus,Nilah,1
LOLTMNT04_27632,BK ROG Esports,Karmine Corp Blue,LFL,14.02,Aatrox,Sejuani,Orianna,Varus,Renata Glasc,K'Sante,Rell,Corki,Kalista,Blitzcrank,Akali,Senna,Tristana,Neeko,Hwei,Karma,Maokai,Azir,Poppy,Nocturne,1
LOLTMNT01_57336,Geekay Esports,Nigma Galaxy,AL,14.02,K'Sante,Nocturne,Neeko,Varus,Pyke,Twisted Fate,Rell,Corki,Ezreal,Bard,Karma,Tristana,Kalista,Xin Zhao,Aatrox,Senna,Ashe,Maokai,Alistar,Nautilus,1
LOLTMNT01_58142,DREN Esports,AVE Axolotl,LIT,14.02,Karma,Xin Zhao,Akali,Varus,Nautilus,Aatrox,Ivern,Ryze,Kalista,Rell,Neeko,Ashe,Vayne,Renata Glasc,Orianna,Rumble,Nocturne,Senna,Zac,Azir,1
LOLTMNT01_57341,Ramboot Club,Rebels Gaming,LVP SL,14.02,K'Sante,Vi,LeBlanc,Ziggs,Rell,Gnar,Poppy,Orianna,Varus,Nautilus,Brand,Senna,Maokai,Xin Zhao,Lee Sin,Seraphine,Karma,Bel'Veth,Neeko,Tristana,0
LOLTMNT04_26656,BeFive,Ankora Gaming,EBL,14.02,K'Sante,Viego,Akali,Kalista,Ashe,Gwen,Vi,Neeko,Varus,Nautilus,Nocturne,Senna,Maokai,Aatrox,Malphite,Karma,Rumble,Hwei,Orianna,Xin Zhao,0
LOLTMNT01_58147,KRC Genk Esports,Once Upon A Team,ESLOL,14.02,K'Sante,Brand,Twisted Fate,Varus,Karma,Gragas,Lee Sin,Corki,Kai'Sa,Rell,Maokai,Akali,Xin Zhao,Nautilus,Zac,Ashe,Kalista,Hwei,Poppy,Olaf,0
LOLTMNT04_26657,Eintracht Frankfurt,Austrian Force willhaben,PRM,14.02,Aatrox,Maokai,Azir,Ezreal,Blitzcrank,Yone,Rell,Orianna,Varus,Bard,Ashe,Nautilus,Karma,Gwen,Vi,Brand,Senna,Rumble,Poppy,K'Sante,1
LOLTMNT04_27638,Aegis,Team GO,LFL,14.02,Renekton,Xin Zhao,Hwei,Ezreal,Ashe,Jax,Rell,Akali,Senna,Nautilus,Kalista,Maokai,Brand,K'Sante,Gnar,Azir,Varus,Lucian,Rumble,Orianna,1
LOLTMNT04_26660,EGN Esports,Hurricane of Feathers,LPLOL,14.02,Ornn,Bel'Veth,Neeko,Kalista,Renata Glasc,Sett,Nocturne,Orianna,Ezreal,Rakan,K'Sante,Corki,Brand,Aatrox,Rumble,Karma,Hwei,Maokai,Xin Zhao,Vi,0
LOLTMNT02_47308,Six Karma,Movistar R7,LLA,14.03,K'Sante,Vi,Orianna,Lucian,Milio,Gwen,Xin Zhao,Taliyah,Varus,Nautilus,Rumble,Draven,Tristana,Aatrox,Poppy,Karma,Ashe,Kalista,Ahri,Udyr,1
LOLTMNT04_26664,Odivelas Sports Club,BWE Esports,LPLOL,14.02,Mordekaiser,Lee Sin,Karma,Lucian,Milio,Olaf,Xin Zhao,Viktor,Ezreal,Rell,Brand,Lillia,Gnar,Ivern,K'Sante,Jayce,Rumble,Senna,Poppy,Jax,1
LOLTMNT02_47330,Six Karma,Movistar R7,LLA,14.03,Aatrox,Wukong,Orianna,Senna,Nautilus,K'Sante,Ivern,Tristana,Kai'Sa,Maokai,Rumble,Draven,Varus,Ezreal,Milio,Karma,Ashe,Kalista,Nocturne,Vi,1
LOLTMNT02_46547,Leviatan,Estral Esports,LLA,14.03,Udyr,Sejuani,Azir,Kalista,Rell,Rumble,Vi,Taliyah,Varus,Alistar,Senna,Lucian,Ashe,Renata Glasc,Nautilus,Karma,Orianna,Nocturne,Tristana,Maokai,1
LOLTMNT02_47366,Estral Esports,Leviatan,LLA,14.03,Rumble,Sejuani,Twisted Fate,Varus,Nautilus,Udyr,Rell,Taliyah,Lucian,Milio,Orianna,Vi,Senna,Maokai,Jarvan IV,Karma,Ashe,Kalista,Azir,Poppy,0
LOLTMNT01_58187,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,LCKC,14.02,K'Sante,Sejuani,Sylas,Aphelios,Milio,Aatrox,Maokai,Azir,Jinx,Nautilus,Orianna,Kalista,Karma,Ezreal,Caitlyn,Senna,Lucian,Varus,Renata Glasc,Rakan,1
LOLTMNT01_59040,Gen.G Global Academy,KT Rolster Challengers,LCKC,14.02,Aatrox,Zac,Hwei,Lucian,Nami,Jax,Maokai,Orianna,Xayah,Rakan,Varus,Kalista,Azir,Vi,Rell,Karma,K'Sante,Senna,Sejuani,Poppy,1
LOLTMNT01_58199,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,LCKC,14.02,Rumble,Maokai,Tristana,Jinx,Nautilus,K'Sante,Poppy,Azir,Aphelios,Leona,Orianna,Kalista,Karma,Ezreal,Caitlyn,Senna,Lucian,Varus,Rakan,Milio,0
LOLTMNT01_59054,Gen.G Global Academy,KT Rolster Challengers,LCKC,14.02,Jax,Maokai,Ryze,Lucian,Nami,Poppy,Lee Sin,Neeko,Kalista,Ashe,Varus,Orianna,Nautilus,Azir,Rumble,Karma,K'Sante,Senna,Sylas,Aatrox,1
LOLTMNT01_59065,OKSavingsBank BRION Challengers,Hanwha Life Esports Challengers,LCKC,14.02,Yone,Maokai,Taliyah,Aphelios,Lulu,Aatrox,Rell,Azir,Lucian,Nami,Varus,Rumble,Orianna,K'Sante,Jax,Senna,Kalista,Karma,Corki,Tristana,0
LOLTMNT01_58248,Nongshim RedForce,KT Rolster,LCK,14.02,Aatrox,Sejuani,Taliyah,Aphelios,Milio,K'Sante,Maokai,Azir,Ashe,Zyra,Vi,Senna,Varus,Caitlyn,Ezreal,Orianna,Lucian,Kalista,Rakan,Nautilus,1
LOLTMNT01_59105,Nongshim RedForce,KT Rolster,LCK,14.02,Aatrox,Viego,Azir,Lucian,Milio,K'Sante,Rammus,Orianna,Caitlyn,Ashe,Vi,Senna,Varus,Rell,Maokai,Sejuani,Rakan,Kalista,Gnar,Udyr,1
LOLTMNT01_58277,Deep Cross Gaming,Frank Esports,PCS,14.02,K'Sante,Lee Sin,Hwei,Senna,Maokai,Aatrox,Viego,Orianna,Xayah,Leona,Neeko,Nautilus,Rell,Rakan,Nocturne,Ashe,Lucian,Kalista,Azir,Tahm Kench,1
LOLTMNT01_58300,Deep Cross Gaming,Frank Esports,PCS,14.02,K'Sante,Maokai,Tristana,Lucian,Milio,Gnar,Brand,Azir,Senna,Tahm Kench,Nautilus,Rell,Orianna,Vi,Aatrox,Ashe,Kalista,Varus,Akali,Corki,1
LOLTMNT01_59130,DN Freecs,BNK FEARX,LCK,14.02,K'Sante,Lee Sin,Azir,Kalista,Renata Glasc,Udyr,Xin Zhao,Orianna,Lucian,Milio,Sejuani,Varus,Ashe,Yasuo,Akali,Poppy,Karma,Senna,Vi,Hwei,0
LOLTMNT01_58334,BNK FEARX,DN Freecs,LCK,14.02,K'Sante,Maokai,Azir,Jhin,Ashe,Garen,Sejuani,Hwei,Ezreal,Pyke,Poppy,Karma,Kalista,Aatrox,Nautilus,Varus,Lucian,Senna,Yone,Yasuo,0
LOLTMNT01_58336,CTBC Flying Oyster,TALON,PCS,14.02,K'Sante,Vi,Taliyah,Twisted Fate,Rell,Aatrox,Viego,Azir,Senna,Nautilus,Maokai,Karma,Milio,Gnar,Jax,Rumble,Ashe,Kalista,Corki,Lee Sin,0
LOLTMNT01_59177,DN Freecs,BNK FEARX,LCK,14.02,K'Sante,Lee Sin,Hwei,Lucian,Nami,Gnar,Poppy,Azir,Aphelios,Milio,Sejuani,Varus,Ashe,Maokai,Udyr,Karma,Senna,Kalista,Corki,Orianna,0
LOLTMNT01_58354,TALON,CTBC Flying Oyster,PCS,14.02,Rumble,Nocturne,Orianna,Caitlyn,Lux,K'Sante,Lee Sin,Azir,Lucian,Milio,Ashe,Twisted Fate,Rell,Vi,LeBlanc,Kalista,Senna,Varus,Maokai,Tristana,1
LOLTMNT04_26686,MAD Lions KOI,Fnatic,LEC,14.02,Akali,Xin Zhao,Karma,Senna,Braum,K'Sante,Brand,Orianna,Jinx,Nautilus,Kalista,Ashe,Varus,Tristana,Hwei,Twisted Fate,Ivern,Maokai,Gwen,Zac,0
LOLTMNT04_28015,Fnatic,MAD Lions KOI,LEC,14.02,K'Sante,Brand,Karma,Lucian,Milio,Gwen,Maokai,Tristana,Aphelios,Blitzcrank,Twisted Fate,Senna,Ivern,Orianna,Hwei,Kalista,Varus,Ezreal,Jinx,Xayah,0
LOLTMNT04_28019,MAD Lions KOI,Fnatic,LEC,14.02,Varus,Ivern,Gragas,Kai'Sa,Nautilus,Jayce,Rell,Hwei,Ezreal,Maokai,Kalista,Ashe,Brand,Jax,Orianna,Twisted Fate,Karma,Senna,K'Sante,Akali,0
LOLTMNT04_28022,Fnatic,MAD Lions KOI,LEC,14.02,Zac,Vi,Hwei,Varus,Renata Glasc,Gnar,Xin Zhao,Karma,Ezreal,Maokai,Twisted Fate,Ivern,Senna,Akali,Darius,Kalista,Brand,K'Sante,Ashe,Nautilus,0
LOLTMNT04_28023,MAD Lions KOI,Fnatic,LEC,14.02,K'Sante,Vi,Azir,Senna,Maokai,Gwen,Poppy,Tristana,Ezreal,Karma,Kalista,Ashe,Brand,Hwei,Rell,Twisted Fate,Ivern,Varus,Nautilus,Orianna,0
LOLTMNT01_58454,Gen.G,Hanwha Life Esports,LCK,14.02,Rumble,Lee Sin,Azir,Senna,Tahm Kench,Aatrox,Nautilus,Taliyah,Lucian,Nami,Maokai,Vi,Ashe,Akali,Yone,K'Sante,Tristana,Kalista,Udyr,Sejuani,0
LOLTMNT01_58466,Hanwha Life Esports,Gen.G,LCK,14.02,Aatrox,Sejuani,Azir,Lucian,Nami,Jax,Rell,Hwei,Aphelios,Milio,Corki,Varus,K'Sante,Tristana,Taliyah,Senna,Maokai,Kalista,Vi,Jarvan IV,1
LOLTMNT01_58492,V3 Esports,DetonatioN FocusMe,LJL,14.02,K'Sante,Rell,Neeko,Draven,Nautilus,Garen,Maokai,Azir,Lucian,Milio,Ashe,Senna,Orianna,Poppy,Darius,Kalista,Varus,Karma,Rumble,Vi,1
LOLTMNT01_58502,Dplus KIA,DRX,LCK,14.02,Aatrox,Rell,Karma,Lucian,Nami,K'Sante,Poppy,Taliyah,Caitlyn,Varus,Sejuani,Ashe,Milio,Nautilus,Orianna,Senna,Rakan,Kalista,Gwen,Twisted Fate,0
LOLTMNT01_58535,Beyond Gaming,J Team,PCS,14.02,Rumble,Xin Zhao,Hwei,Xayah,Rakan,Aatrox,Rell,Azir,Varus,Alistar,Orianna,Senna,Maokai,K'Sante,Nautilus,Neeko,Karma,Kalista,Vi,LeBlanc,0
LOLTMNT01_58536,DetonatioN FocusMe,V3 Esports,LJL,14.02,K'Sante,Xin Zhao,Karma,Miss Fortune,Nautilus,Udyr,Jax,Hwei,Ezreal,Braum,Kalista,Varus,Orianna,Vi,Rell,Ashe,Neeko,Senna,Lucian,Jinx,0
LOLTMNT01_59378,DRX,Dplus KIA,LCK,14.02,Camille,Poppy,Twisted Fate,Ezreal,Ashe,Aatrox,Rell,Karma,Caitlyn,Bard,Kalista,Rakan,Varus,Nautilus,Pyke,Lucian,Senna,Sejuani,Azir,Orianna,1
LOLTMNT01_58556,Rainbow Warriors,GAM Esports,VCS,14.02,Irelia,Lee Sin,LeBlanc,Caitlyn,Pyke,Aatrox,Nocturne,Orianna,Senna,Nautilus,K'Sante,Karma,Ashe,Aphelios,Lucian,Kalista,Neeko,Varus,Rumble,Lux,1
LOLTMNT01_58559,J Team,Beyond Gaming,PCS,14.02,Gwen,Xin Zhao,Karma,Jhin,Rell,K'Sante,Viego,Hwei,Varus,Ashe,Neeko,Rumble,Kalista,Renata Glasc,Lee Sin,Senna,Maokai,Orianna,Lucian,Nautilus,1
LOLTMNT01_59407,QT DIG∞,Fukuoka SoftBank HAWKS gaming,LJL,14.02,K'Sante,Viego,Orianna,Kalista,Nautilus,Zac,Rell,Azir,Draven,Ashe,Rumble,Varus,Ezreal,Viktor,Taliyah,Karma,Neeko,Senna,Nocturne,Jarvan IV,1
LOLTMNT01_58572,Rainbow Warriors,GAM Esports,VCS,14.02,Gnar,Lee Sin,Orianna,Senna,Nautilus,Aatrox,Nocturne,Azir,Twisted Fate,Tahm Kench,K'Sante,Ashe,Karma,Lucian,Xayah,Kalista,Varus,Neeko,Rumble,Xin Zhao,1
LOLTMNT01_59434,West Point Esports,HELL PIGS,PCS,14.02,K'Sante,Vi,Orianna,Varus,Rell,Udyr,Lee Sin,LeBlanc,Sivir,Maokai,Rengar,Senna,Ashe,Akali,Tristana,Kalista,Lucian,Karma,Alistar,Nautilus,0
LOLTMNT01_59435,Fukuoka SoftBank HAWKS gaming,QT DIG∞,LJL,14.02,Twisted Fate,Lee Sin,Hwei,Kalista,Maokai,Aatrox,Poppy,Azir,Varus,Nautilus,Karma,Ashe,Neeko,Jax,Milio,Senna,Orianna,Rumble,Renata Glasc,K'Sante,0
LOLTMNT01_59445,Team Whales,MGN Blue Esports,VCS,14.02,K'Sante,Xin Zhao,Karma,Kai'Sa,Maokai,Zac,Vi,Hwei,Varus,Nautilus,Senna,Twisted Fate,Tristana,Rell,Gnar,Ashe,Kalista,Nocturne,Caitlyn,Xayah,0
LOLTMNT01_58614,HELL PIGS,West Point Esports,PCS,14.02,K'Sante,Poppy,Hwei,Jhin,Ashe,Udyr,Xin Zhao,Neeko,Varus,Nautilus,Kalista,Lucian,Karma,Vi,Viego,Rengar,Senna,Orianna,Maokai,Rell,0
LOLTMNT01_59465,MGN Blue Esports,Team Whales,VCS,14.02,Aatrox,Rell,Karma,Lucian,Nami,K'Sante,Lee Sin,Orianna,Kog'Maw,Milio,Ashe,Nocturne,Varus,Caitlyn,Aphelios,Senna,Tristana,Kalista,Ezreal,Kindred,1
LOLTMNT01_58620,AXIZ CREST,Burning Core Toyama,LJL,14.02,Udyr,Xin Zhao,Hwei,Senna,Maokai,Zac,Lee Sin,Azir,Aphelios,Nautilus,Tristana,Neeko,Varus,Milio,Renata Glasc,Karma,Nocturne,Ashe,Vi,Jarvan IV,0
LOLTMNT01_58624,West Point Esports,HELL PIGS,PCS,14.02,Irelia,Sejuani,Orianna,Varus,Renata Glasc,K'Sante,Xin Zhao,Akali,Jhin,Maokai,Rengar,Senna,Ashe,Bard,Poppy,Kalista,Lucian,Karma,Nautilus,Vi,1
LOLTMNT01_58626,Burning Core Toyama,AXIZ CREST,LJL,14.02,Twisted Fate,Lillia,Sion,Varus,Renata Glasc,K'Sante,Sejuani,Hwei,Lucian,Milio,Nocturne,Senna,Jax,Xin Zhao,Jarvan IV,Tristana,Karma,Neeko,Orianna,Lee Sin,1
LOLTMNT04_26706,Team BDS,MAD Lions KOI,LEC,14.02,K'Sante,Sejuani,Azir,Aphelios,Tahm Kench,Twisted Fate,Vi,Taliyah,Jinx,Rakan,Senna,Ivern,Karma,Gwen,Akali,Maokai,Kalista,Varus,Rell,Blitzcrank,1
LOLTMNT02_48097,RED Canids,FURIA,CBLOL,14.03,Twisted Fate,Rell,Taliyah,Smolder,Nautilus,Vladimir,Lee Sin,Azir,Varus,Maokai,Pyke,Senna,Orianna,Ashe,Jax,Karma,Kalista,Milio,K'Sante,Vi,0
LOLTMNT04_28040,Team BDS,MAD Lions KOI,LEC,14.02,K'Sante,Vi,Corki,Aphelios,Blitzcrank,Gnar,Ivern,Azir,Xayah,Braum,Senna,Karma,Twisted Fate,Nautilus,Rakan,Maokai,Kalista,Varus,Orianna,Hwei,1
